               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.084317,             0.05694,            0.023359,             0.53622,             0.30075,             0.23341,            0.098654,            0.080452,            0.040772,            0.021448,            0.006535,            0.006535,            0.006535
                 107,            0.084231,            0.058257,            0.024643,             0.56525,             0.29861,             0.28179,             0.09637,            0.082075,            0.042942,            0.021194,            0.006502,            0.006502,            0.006502
                 108,            0.083648,            0.060244,             0.02365,             0.56525,             0.29861,             0.28179,             0.09637,            0.082075,             0.04292,            0.021194,            0.006469,            0.006469,            0.006469
                 109,            0.083486,            0.052759,             0.02346,             0.57634,             0.26439,             0.31495,             0.11799,            0.080052,            0.043404,            0.021181,            0.006436,            0.006436,            0.006436
                 110,            0.080352,            0.056965,            0.022488,             0.57712,             0.27456,             0.27114,             0.12144,            0.079331,             0.03993,            0.021535,            0.006403,            0.006403,            0.006403
                 111,            0.080703,            0.056256,            0.022826,             0.68519,             0.30016,             0.39225,             0.15922,            0.078728,            0.037903,             0.02153,             0.00637,             0.00637,             0.00637
                 112,            0.080539,            0.061427,            0.022827,             0.68519,             0.30016,             0.39225,             0.15922,            0.078728,            0.037902,             0.02153,            0.006337,            0.006337,            0.006337
                 113,             0.08126,            0.054808,             0.02283,             0.71086,             0.35226,             0.44407,             0.15863,             0.07844,             0.03793,            0.021493,            0.006304,            0.006304,            0.006304
                 114,            0.081299,            0.055032,            0.023936,             0.61205,             0.34085,             0.36177,             0.17596,            0.078784,            0.036123,            0.021575,            0.006271,            0.006271,            0.006271
                 115,            0.080941,            0.057401,            0.022768,             0.65894,             0.32957,             0.38205,             0.14158,            0.079893,            0.036416,            0.021516,            0.006238,            0.006238,            0.006238
                 116,            0.081504,            0.058441,            0.022654,             0.65894,             0.32957,             0.38205,             0.14158,            0.079893,            0.036384,            0.021516,            0.006205,            0.006205,            0.006205
                 117,            0.081093,            0.058601,            0.023267,             0.66975,             0.31203,             0.34761,             0.12711,            0.077976,            0.035817,            0.021953,            0.006172,            0.006172,            0.006172
                 118,            0.080693,            0.052078,            0.022195,             0.59559,             0.40602,             0.32215,             0.15732,            0.078433,            0.035216,            0.021529,            0.006139,            0.006139,            0.006139
                 119,            0.082227,             0.05198,            0.022875,             0.71524,             0.27694,             0.34214,             0.14686,            0.077688,            0.035848,            0.021543,            0.006106,            0.006106,            0.006106
                 120,            0.080495,            0.050018,            0.022468,             0.71524,             0.27694,             0.34214,             0.14686,            0.077688,            0.035821,            0.021543,            0.006073,            0.006073,            0.006073
                 121,            0.081886,            0.058021,             0.02372,             0.77943,             0.32331,             0.41145,              0.1905,            0.076634,            0.035771,            0.021093,             0.00604,             0.00604,             0.00604
                 122,            0.078656,             0.05165,            0.022404,             0.59001,             0.35213,             0.44318,             0.23075,            0.079762,             0.04071,            0.020375,            0.006007,            0.006007,            0.006007
                 123,            0.077849,            0.057439,            0.022075,             0.63356,             0.33584,             0.37483,              0.1974,            0.079428,            0.035004,            0.021267,            0.005974,            0.005974,            0.005974
                 124,            0.086248,            0.048659,            0.022237,             0.63356,             0.33584,             0.37483,              0.1974,            0.079428,            0.034996,            0.021267,            0.005941,            0.005941,            0.005941
                 125,            0.084314,            0.049942,             0.02188,             0.60372,             0.27575,             0.34696,             0.16763,            0.078758,            0.034591,            0.021975,            0.005908,            0.005908,            0.005908
                 126,            0.082903,            0.055604,            0.023115,             0.60117,             0.31534,             0.30375,             0.14879,            0.076879,            0.035413,            0.022375,            0.005875,            0.005875,            0.005875
                 127,            0.080503,            0.055184,            0.022609,             0.69005,             0.30364,             0.38855,             0.23205,            0.073991,            0.036922,            0.020976,            0.005842,            0.005842,            0.005842
                 128,            0.078173,            0.054442,            0.022481,             0.69005,             0.30364,             0.38855,             0.23205,            0.073991,            0.036933,            0.020976,            0.005809,            0.005809,            0.005809
                 129,            0.077585,            0.054985,            0.022222,             0.57485,             0.39975,             0.39244,             0.20598,            0.076284,            0.038857,            0.020776,            0.005776,            0.005776,            0.005776
                 130,            0.076591,            0.057715,            0.022289,             0.63026,             0.45363,             0.40414,               0.212,            0.074327,             0.03466,            0.021337,            0.005743,            0.005743,            0.005743
                 131,            0.075423,            0.061831,            0.022055,              0.7984,             0.33459,             0.45292,             0.21949,             0.07716,            0.036106,            0.020902,             0.00571,             0.00571,             0.00571
                 132,            0.078576,            0.058948,            0.021999,              0.7984,             0.33459,             0.45292,             0.21949,             0.07716,            0.036151,            0.020902,            0.005677,            0.005677,            0.005677
                 133,            0.075934,            0.055139,            0.022243,             0.71969,             0.40602,             0.46283,             0.24505,            0.071688,            0.033815,            0.021405,            0.005644,            0.005644,            0.005644
                 134,            0.075733,            0.058108,            0.021821,             0.71104,             0.44743,             0.43331,             0.20342,            0.077326,            0.033705,            0.021179,            0.005611,            0.005611,            0.005611
                 135,            0.079231,            0.064495,            0.022306,             0.59142,             0.43325,              0.4331,             0.17198,             0.07677,            0.038515,            0.020641,            0.005578,            0.005578,            0.005578
                 136,            0.078675,             0.05436,            0.022707,             0.59142,             0.43325,              0.4331,             0.17198,             0.07677,             0.03851,            0.020641,            0.005545,            0.005545,            0.005545
                 137,            0.077299,            0.050352,            0.022055,             0.59558,             0.33433,             0.41469,             0.14558,            0.076878,            0.036816,            0.020949,            0.005512,            0.005512,            0.005512
                 138,            0.077007,            0.052098,              0.0225,              0.5024,             0.68881,             0.52553,              0.2542,            0.071881,            0.034408,            0.020337,            0.005479,            0.005479,            0.005479
                 139,            0.072642,            0.053997,            0.021467,             0.42088,             0.68881,             0.55027,             0.21271,            0.077481,            0.036276,            0.020048,            0.005446,            0.005446,            0.005446
                 140,            0.076687,            0.052496,            0.022492,             0.42088,             0.68881,             0.55027,             0.21271,            0.077481,            0.036287,            0.020048,            0.005413,            0.005413,            0.005413
                 141,            0.074796,            0.047531,            0.021208,             0.54081,             0.64494,             0.61957,             0.29536,            0.073445,            0.034075,            0.020672,             0.00538,             0.00538,             0.00538
